Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Darkness Dragon Collapserpent	JF13	J-JMB6	Dragon/Effect	Dark	4	1800	1700		ocg	Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 LIGHT monster from your Graveyard, and cannot be Special Summoned by other ways. You can only Special Summon 1 "Darkness Dragon Collapserpent" per turn. If this card is sent from the field to the Graveyard: You can add 1 "Bright White Dragon Wyburster" from your Deck to your hand.
Armor Kappa	JF13	J-JMB9	Psychic/Xyz/Effect	Water	*2	400	1000		ocg	2 Level 2 monsters. Once per turn: You can detach 1 Xyz Material from this card; this card gains 1000 ATK or DEF. During the Battle Step, when a monster you control battles: You can discard 1 card; this turn, you take no Battle Damage, and monsters you control cannot be destroyed by battle. You can only use this effect once per Duel.
Number C106: Giant Hand Red	OG02	J-OG02	Rock/Xyz/Effect	Earth	*5	2600	2000		ocg	3 Level 5 monsters. If this card has a "Number" monster as an Xyz Material, it gains this effect. *Once per turn, during either player's turn, when a card or effect is activated on the field: Detach 1 Xyz Material from this card, and if you do, negate the effects of all other face-up cards currently on the field until the end of this turn.
Shuttleroid	PP11	J-PK02	Machine/Effect	Wind	4	1000	1200		ocg	If this card is declared as an attack target, you can remove this card from play. When it is removed from play by this effect, Special Summon it during your next Standby Phase. When it is Special Summoned by this effect, inflict 1000 damage to your opponent.
Gimmick Puppet Dreary Doll	PP15	J-PO01	Machine/Effect	Dark	8	0	0		ocg	If this card is in your Graveyard: You can banish 1 other "Gimmick Puppet" monster from your Graveyard; Special Summon this card from your Graveyard. You can only use the effect of "Gimmick Puppet Dreary Doll" once per turn. This card cannot be used as an Xyz Material, except for the Xyz Summon of a "Gimmick Puppet" monster.
Gimmick Puppet Magne Doll	PP15	J-PO02	Machine/Effect	Dark	8	1000	1000		ocg	If your opponent controls a monster and you control only "Gimmick Puppet" monsters, you can Special Summon this card (from your hand).
Chronomaly Tula Guardian	PP15	J-PO03	Rock/Effect	Earth	5	1800	900		ocg	If there is a Field Spell Card face-up on the field, you can Special Summon this card (from your hand). You can only control 1 face-up "Chronomaly Tula Guardian".
Triple-Belly Knight	PP15	J-PO04	Warrior/Effect	Earth	4	1000	1600		ocg	If this card as an Xyz Material is sent to the Graveyard to activate an Xyz Monster's effect: You can Special Summon 1 Level 3 or lower monster from your hand.
Power Tool Mecha Dragon	PP15	J-PO05	Machine/Synchro/Effect	Dark	7	2300	2500		ocg	1 Tuner + 1 or more non-Tuner monsters. During your turn, when an Equip Spell Card is equipped to this card: You can draw 1 card. You can only use this effect of "Power Tool Mecha Dragon" once per turn. Once per turn, during either player's turn: You can target 1 face-up Equip Card on the field that can be equipped to this card; equip it to this card.
Fairy Dragon Ancient	PP15	J-PO06	Dragon/Synchro/Effect	Dark	7	2100	2300		ocg	1 Tuner + 1 or more non-Tuner monsters. During your turn, when a Field Spell Card is activated: Draw 1 card. You can only use this effect of "Ancient Fairy Dragon" once per turn. Once per turn, if there is a face-up Field Spell Card on the field: You can target 1 face-up Attack Position monster on the field; destroy it.
Junk Puppet	PP15	J-PO08	Normal Spell						ocg	Target 1 "Gimmick Puppet" monster in your Graveyard; Special Summon that target. You can only activate 1 "Junk Puppet" per turn.
Chronomaly City Babylon	PP15	J-PO09	Field Spell						ocg	Once per turn: You can banish 1 "Chronomaly" monster from your Graveyard to target 1 "Chronomaly" monster in your Graveyard with the same Level; Special Summon that target.
Hope Buster	PP15	J-PO10	Normal Spell						ocg	If you control a "Utopia" monster: Destroy the 1 face-up monster your opponent controls that has the lowest ATK, and if you do, inflict damage to your opponent equal to its ATK. (If it's a tie, you get to choose.)
Interplanetarypurplythorny Beast	PR03	J-PCA4	Beast/Effect	Dark	5	1100	2200		ocg	When a monster you control is destroyed by battle and sent to the Graveyard, while this card is in the Graveyard: You can Special Summon this card from your Graveyard. If you do, banish it when it leaves the field. You can only use the effect of "Interplanetarypurplythorny Beast" once per turn.
Vivit Knight	PR03	J-PCB4	Beast-Warrior/Effect	Light	4	1700	800		ocg	When exactly 1 face-up LIGHT Beast-Warrior-Type monster you control is targeted for an attack or by an opponent's card effect: You can banish that target, then Special Summon this card from your hand. The banished monster returns to the field during your next Standby Phase.
Maiden with Eyes of Blue	SD25	J-SY05	Spellcaster/Tuner	Light	1	0	0		ocg	When this card is targeted for an attack: You can negate the attack, and if you do, change the battle position of this card, then you can Special Summon 1 "Blue-Eyes White Dragon" from your hand, Deck, or Graveyard. During either player's turn, when a card or effect is activated that targets this face-up card (except during the Damage Step): You can Special Summon 1 "Blue-Eyes White Dragon" from your hand, Deck, or Graveyard. You can only use 1 "Maiden with Eyes of Blue" effect per turn, and only once that turn.
Rider of the Storm Winds	SD25	J-SY06	Dragon/Tuner	Light	1	500	200		ocg	You can target 1 Dragon-Type Normal Monster you control; equip this monster from your hand or your side of the field to that target. If the monster equipped with this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. If the equipped monster would be destroyed, destroy this card instead.
Dragon Shrine	SD25	J-SY20	Normal Spell						ocg	Send 1 Dragon-Type monster from your Deck to the Graveyard, then if the monster you sent to the Graveyard was a Dragon-Type Normal Monster, you can send 1 more Dragon-Type monster from your Deck to the Graveyard. You can only activate 1 "Dragon Shrine" per turn.
Silver's Cry	SD25	J-SY21	Quick-Play Spell						ocg	Target 1 Dragon-Type Normal Monster in your Graveyard; Special Summon that target. You can only activate 1 "Silver's Cry" per turn.
Castle of Dragon Souls	SD25	J-SY34	Continuous Trap						ocg	Once per turn: You can banish 1 Dragon-Type monster from your Graveyard, then target 1 face-up monster you control; it gains 700 ATK, until the End Phase. When this face-up card is sent to the Graveyard: You can target 1 of your banished Dragon-Type monsters; Special Summon that target. You can only control 1 face-up "Castle of Dragon Souls".
Azure-Eyes Silver Dragon	SD25	J-SY40	Dragon/Synchro/Effect	Light	9	2500	3000		ocg	1 Tuner + 1 or more non-Tuner Normal Monsters. When this card is Special Summoned: Dragon-Type monsters you currently control cannot be targeted or destroyed by card effects until the end of the next turn. Once per turn, during your Standby Phase: You can target 1 Normal Monster in your Graveyard; Special Summon that target.
Labradorite Dragon	SHSP	J-SH01	Dragon/Tuner	Dark	6	0	2400		ocg	A dragon covered in scales that give off a unique and beautiful shine called "labradorescence". The dazzling light borne from these scales has the power to soothe the wavering souls of, and stir the emotions of, those who see it. --- It is said that this light shines even through memories of past lives and reunites those who were once close.
Chauchow-chan	SHSP	J-SH02	Beast/Effect	Earth	2	800	800		ocg	When your opponent activates a Normal Trap Card at an attack declaration involving an attacking monster you control and an opponent's monster: You can discard this card; negate the activation, and if you do, destroy it.
Malicevorous Spoon	SHSP	J-SH03	Fiend/Effect	Dark	2	100	500		ocg	When a "Malicevorous" monster, except "Malicevorous Spoon", is Normal or Special Summoned to your side of the field while you control this face-up card: You can target 1 Level 2 Fiend-Type monster in your Graveyard; Special Summon that target. Its effects are negated. You can only use the effect of "Malicevorous Spoon" once per turn.
Malicevorous Fork	SHSP	J-SH04	Fiend/Effect	Dark	2	400	400		ocg	You can send 1 other Fiend-Type monster from your hand to the Graveyard; Special Summon this card from your hand.
Malicevorous Knife	SHSP	J-SH05	Fiend/Effect	Dark	2	600	100		ocg	When this card is Normal Summoned: You can target 1 "Malicevorous" monster in your Graveyard, except "Malicevorous Knife"; Special Summon that target.
Battlin' Boxer Leverage Gardna	SHSP	J-SH06	Warrior/Effect	Fire	3	100	1400		ocg	During either player's turn: You can banish this card from your hand or Graveyard, then target 1 "Battlin' Boxer" monster you control; banish it until your next Standby Phase.
Battlin' Boxer Rabbit Puncher	SHSP	J-SH07	Warrior/Effect	Fire	3	800	1000		ocg	At the start of the Damage Step, if this card attacks a Defense Position monster: Destroy that monster.
Wild the Duplicitous Druid	SHSP	J-SH08	Spellcaster/Effect	Dark	4	0	1800		ocg	If this card is sent from the field to the Graveyard: You can target 1 Continuous Spell Card in your Graveyard; Set that target, but it cannot be activated this turn. You can only use the effect of "Wid the Duplicitous Druid" once per turn.
Druise the Duplicitous Druid	SHSP	J-SH09	Spellcaster/Effect	Dark	4	1800	0		ocg	When this card is Normal Summoned: You can target 1 Level 4 DARK monster with either 0 ATK or DEF in your Graveyard, except "Druise the Duplicitous Druid"; Special Summon that target in face-up Defense Position. Its effects are negated. You can only use the effect of "Druise the Duplicitous Druid" once per turn.
Mythic Wood Dragon	SHSP	J-SH10	Dragon/Effect	Earth	4	100	1400		ocg	Once per turn: You can target 1 WATER Dragon-Type monster you control; this card's Level becomes the Level of that monster.
Mythic Water Dragon	SHSP	J-SH11	Dragon/Effect	Water	8	1000	2000		ocg	If you control an EARTH monster, you can Special Summon this card (from your hand). You can only Special Summon "Mythic Water Dragon" once per turn this way.
Protect Dragon	SHSP	J-SH12	Dragon/Effect	Light	8	2000	2800		ocg	Face-up Equip Cards you control cannot be destroyed by card effects. This card gains 500 ATK for each Equip Card equipped to it.
Drain Dragon	SHSP	J-SH13	Dragon/Effect	Light	8	4000	0		ocg	Cannot be Normal Summoned/Set. Must be Special Summoned by your Dragon-Type Xyz Monster's effect, and cannot be Special Summoned by other ways. When this card is Special Summoned while your Life Points are lower than your opponent's: This card gains ATK equal to the difference, but your opponent takes no battle damage this turn. This card cannot attack your opponent directly.
Tanukit Ponpoko	SHSP	J-SH14	Beast/Effect	Earth	2	800	0		ocg	When this card is Normal Summoned: You can Special Summon 1 Level 2 Beast-Type monster from your Deck, except "Tanukit Ponpoko", in face-down Defense Position. You cannot Special Summon any monsters during the turn you activate this effect, except Beast-Type monsters.
Tanukit Tantan	SHSP	J-SH15	Beast/Effect	Earth	2	0	800		ocg	FLIP: Special Summon 1 Level 2 Beast-Type monster from your Deck, except "Tanukit Tantan".
Ghostrick Lantern	SHSP	J-SH16	Fiend/Effect	Dark	1	800	0		ocg	Cannot be Normal Summoned unless you control a "Ghostrick" monster (but can be Normal Set). Once per turn: You can change this card to face-down Defense Position. When your opponent's monster either declares a direct attack or targets a "Ghostrick" monster you control for an attack: You can negate the attack, and if you do, Special Summon this card from your hand in face-down Defense Position.
Ghostrick Specter	SHSP	J-SH17	Fiend/Effect	Dark	1	600	0		ocg	Cannot be Normal Summoned unless you control a "Ghostrick" monster (but can be Normal Set). Once per turn: You can change this card to face-down Defense Position. When a "Ghostrick" monster in your possession is destroyed by an opponent's card (either by an opponent's attack or a card effect) and sent to your Graveyard: You can Special Summon this card from your hand in face-down Defense Position, and if you do, draw 1 card.
Ghostrick Witch	SHSP	J-SH18	Spellcaster/Effect	Dark	2	1200	200		ocg	Cannot be Normal Summoned unless you control a "Ghostrick" monster (but can be Normal Set). Once per turn: You can change this card to face-down Defense Position. Once per turn: You can target 1 face-up monster your opponent controls; change that monster to face-down Defense Position.
Ghostrick Yuki-onna	SHSP	J-SH19	Spellcaster/Effect	Dark	2	1000	800		ocg	Cannot be Normal Summoned unless you control a "Ghostrick" monster (but can be Normal Set). Once per turn: You can change this card to face-down Defense Position. When this card is destroyed by battle and sent to the Graveyard: Change the monster that destroyed it to face-down Defense Position. That monster's battle position cannot be changed.
Ghostrick Kyonshee	SHSP	J-SH20	Zombie/Effect	Dark	3	400	1800		ocg	Cannot be Normal Summoned unless you control a "Ghostrick" monster (but can be Normal Set). Once per turn: You can change this card to face-down Defense Position. When this card is flipped face-up: You can add 1 "Ghostrick" monster from your Deck to your hand whose Level is less than or equal to the number of "Ghostrick" monsters you control. You can only use this effect of "Ghostrick Kyonshee" once per turn.
Ghostrick Stein	SHSP	J-SH21	Zombie/Effect	Dark	3	1600	0		ocg	Cannot be Normal Summoned unless you control a "Ghostrick" monster (but can be Normal Set). Once per turn: You can change this card to face-down Defense Position. When this card inflicts battle damage to your opponent: You can add 1 "Ghostrick" Spell/Trap Card from your Deck to your hand. You can only use this effect of "Ghostrick Stein" once per turn.
Bujin Mikazuchi	SHSP	J-SH22	Beast-Warrior/Effect	Light	4	1900	1500		ocg	When a Beast-Warrior-Type "Bujin" monster you control is destroyed (either by battle or by card effect) and sent to the Graveyard: You can Special Summon this card from your hand. Once per turn, during the End Phase, if a "Bujin" monster was previously sent from your hand to your Graveyard this turn while you controlled this face-up card: You can add 1 "Bujin" Spell/Trap Card from your Deck to your hand. You can only control 1 "Bujin Mikazuchi".
Bujingi Yata	SHSP	J-SH23	Winged Beast/Effect	Light	4	1700	800		ocg	When a "Bujin" Beast-Warrior-Type monster you control is targeted for an attack by an opponent's monster: You can send this card from your hand to the Graveyard; negate the attacking monster's attack, and if you do, inflict damage to your opponent equal to half of that monster's ATK. You can only use the effect of "Bujingi Yata" once per turn.
Bujingi Ibis	SHSP	J-SH24	Winged Beast/Effect	Light	4	1600	300		ocg	During your Main Phase 1: You can send this card from your hand to the Graveyard, then target 1 "Bujin" monster you control; this turn, if it attacks a Defense Position monster, inflict piercing battle damage to your opponent.
Bujingi Boar	SHSP	J-SH25	Beast/Effect	Light	4	1100	1900		ocg	If you control a "Bujin" monster: You can banish this card from your Graveyard, then target 1 face-up Attack Position monster your opponent controls; change that target to face-up Defense Position, and if you do, its DEF becomes 0 until the End Phase.
Bujingi Centipede	SHSP	J-SH26	Beast/Effect	Light	4	1700	500		ocg	If you control a "Bujin" Beast-Warrior-Type monster: You can banish this card from your Graveyard, then target 1 Spell/Trap Card your opponent controls; destroy that target. You can only use the effect of "Bujingi Centipede" once per turn.
Mecha Phantom Beast Sabalhawk	SHSP	J-SH27	Machine/Effect	Wind	4	2100	100		ocg	This card cannot attack directly. This card cannot attack while there is a monster(s) in your Graveyard that is not a "Mecha Phantom Beast" monster. This card's Level is increased by the total Levels of all "Mecha Phantom Beast Tokens" you control. While you control a Token, this card cannot be destroyed by battle or card effects. Once per turn: You can Tribute 1 Token, then target 1 card in either player's Graveyard; banish that target.
Mecha Phantom Beast Gryphin	SHSP	J-SH28	Machine/Effect	Wind	7	1000	2500		ocg	You can Tribute 2 "Mecha Phantom Beast" monsters; Special Summon this card from your hand. You can only use this effect of "Mecha Phantom Beast Gryphin" once per turn. While you control a Token, this card cannot be destroyed by battle or card effects. Once per turn: You can discard 1 "Mecha Phantom Beast" monster; Special Summon 1 "Mecha Phantom Beast Token" (Machine-Type/WIND/Level 3/ATK 0/DEF 0).
Vampire Sorcerer	SHSP	J-SH29	Zombie/Effect	Dark	4	1500	1500		ocg	If this card is sent to your Graveyard by your opponent's card (including by battle, by card effect, or by being destroyed): You can add either 1 DARK "Vampire" monster, or 1 "Vampire" Spell/Trap Card, from your Deck to your hand. You can banish this card from your Graveyard; you can Normal Summon 1 DARK "Vampire" monster this turn without Tributing.
Vampire Shadow	SHSP	J-SH30	Zombie/Effect	Dark	5	2000	0		ocg	When this card is Normal Summoned: You can Special Summon 1 DARK "Vampire" monster from your hand or Deck, except "Shadow Vampire". If you do, monsters you control cannot attack for the rest of this turn, except that monster. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a DARK monster.
Vampire Grace	SHSP	J-SH31	Zombie/Effect	Dark	6	2000	1200		ocg	While this card is in your Graveyard, when a Level 5 or higher Zombie-Type monster(s) is Special Summoned to your side of the field by a Zombie-Type monster's effect: You can pay 2000 Life Points; Special Summon this card from your Graveyard. You can only use this effect of "Vampire Grace" once per turn. Once per turn: You can declare 1 card type (Monster, Spell, or Trap); your opponent sends 1 card of that type from their Deck to the Graveyard.
Pumprincess the Princess of Ghosts	SHSP	J-SH32	Zombie/Effect	Dark	3	900	1000		ocg	If this face-up card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard. During each Standby Phase, if this card is treated as a Continuous Spell Card by its own effect: Place 1 Pumpkin Counter on this card. While this card is treated as a Continuous Spell Card, each monster your opponent controls loses 100 ATK and DEF for each Pumpkin Counter on this card.
Yellow-Bellied Oni	SHSP	J-SH33	Zombie/Effect	Dark	4	1000	1000		ocg	When you Xyz Summon: You can Special Summon this card from your hand. Once per turn: You can detach 1 Xyz Material from a card you control, then target 1 Xyz Monster on the field; decrease its Rank by 1, also it loses 300 ATK.
Vampire Killer	SHSP	J-SH34	Warrior/Effect	Dark	4	1600	1600		ocg	At the start of the Damage Step, if this card battles a DARK monster: Destroy that monster.
Aratama	SHSP	J-SH35	Fiend/Spirit	Dark	4	800	1800		ocg	Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped face-up: Return it to the hand. When this card is Normal Summoned or flipped face-up: Add 1 Spirit monster from your Deck to your hand, except "Aratama".
Rakshasa	SHSP	J-SH36	Fairy/Spirit	Fire	4	1500	1900		ocg	Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped face-up: Return it to the hand. When this card is Normal Summoned or flipped face-up: You can reveal 1 Spirit monster in your hand, except "Rakshasa", then target 1 face-up Attack Position monster your opponent controls; return that target to the hand. You cannot Special Summon during the turn you activate this effect.
Natural Bone Saurus	SHSP	J-SH37	Zombie/Gemini	Dark	4	1700	1400		ocg	This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect. *This card becomes an EARTH Dinosaur-Type. When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can Special Summon that monster from their Graveyard to your side of the field in face-up Defense Position as a Zombie-Type monster.
Knight Dei Grepher	SHSP	J-SH38	Warrior/Gemini	Light	4	1700	1600		ocg	This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect. *During your End Phase: You can target 1 Equip Spell Card in your Graveyard; add that target to your hand. You can only use this effect of "Knight Dei Grepher" once per turn.
Genomix Fighter	SHSP	J-SH39	Psychic/Tuner	Wind	6	2200	1100		ocg	You can Normal Summon this card without Tributing, but its Level becomes 3 and its original ATK is halved. Once per turn: You can declare 1 Type; during this turn, if this card is used as a Synchro Material Monster, this card and all the other Synchro Material Monsters are treated as the declared Type. During the turn you activate this effect, you cannot Normal or Special Summon monsters, except monsters of the declared Type.
Malina, Princess of Sunflowers	SHSP	J-SH40	Plant/Effect	Fire	8	2800	1600		ocg	If exactly 1 other Plant-Type monster you control is destroyed by battle or by a card effect and sent to the Graveyard: You can target 1 card your opponent controls; destroy that target. This card must be face-up on the field to activate and to resolve this effect.
Granmarg the Rugged Rock Monarch	SHSP	J-SH41	Rock/Effect	Earth	8	2800	1000		ocg	You can Tribute Summon this card by Tributing 1 Tribute Summoned monster. When this card is Tribute Summoned: Target up to 2 Set cards on the field; destroy those target(s), then draw 1 card if every monster Tributed to Tribute Summon this card was EARTH.
Swarm of Crows	SHSP	J-SH42	Winged Beast/Effect	Dark	5	1200	1800		ocg	Cannot be Special Summoned from the Deck. Once per turn: You can change this card to face-down Defense Position. When this card is Flip Summoned: Discard 1 random card from your opponent's hand.
Tsuchinoko	SHSP	J-SH43	Reptile/Effect	Earth	3	1600	500		ocg	When this card is Special Summoned: Change all other Special Summoned monsters on the field to face-down Defense Position. You can only use the effect of "Tsuchinoko" once per turn.
Risebell the Star Walker	SHSP	J-SH44	Psychic/Effect	Wind	4	1500	1500		ocg	Once per turn, during either player's turn: You can target 1 face-up monster on the field; increase that monster's Level by 1.
Blue Duston	SHSP	J-SH45	Fiend/Effect	Water	1	0	1000		ocg	Cannot be used as a Fusion, Synchro, or Xyz Material for a Summon. While this card is face-up on the field, it cannot be Tributed. When this card on the field is destroyed: Banish 1 random card from the controller's hand, face-down, until the next turn's Standby Phase. You can only control 1 face-up "Blue Duston".
Number C96: Dark Storm	SHSP	J-SH46	Fiend/Xyz/Effect	Dark	*3	1000	1000		ocg	4 Level 3 DARK monsters. This card cannot be destroyed by battle, also all battle damage you take from battles involving this card is also inflicted to your opponent. If this card has "Number 96: Dark Mist" as an Xyz Material, it gains this effect. *Once per battle, during either player's turn, when an attack is declared involving this card and an opponent's monster: You can detach 1 Xyz Material from this card; the ATK of that opponent's monster becomes 0, and if it does, this card gains ATK equal to that monster's original ATK.
Number 65: Judge Buster the Adjudicutter Djinn	SHSP	J-SH47	Fiend/Xyz/Effect	Dark	*2	1300	0		ocg	2 Level 2 DARK monsters. During either player's turn, when an opponent's monster effect is activated: You can detach 2 Xyz Materials from this card; negate the activation, and if you do, inflict 500 damage to your opponent.
Number C65: Judge Doom the Adjudicutter King	SHSP	J-SH48	Fiend/Xyz/Effect	Dark	*3	1600	0		ocg	3 Level 3 DARK monsters. Once per turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; that target loses 1000 ATK and DEF. If this card has "Number 65: Judge Buster the Adjudicutter Djinn" as an Xyz Material, it gains this effect. *Monster effects cannot be activated on your opponent's side of the field.
Battlin' Boxer Cheat Commissioner	SHSP	J-SH49	Warrior/Xyz/Effect	Fire	*3	0	1300		ocg	2 Level 3 monsters. All monsters your opponent controls must attack, if able. While you control another "Battlin' Boxer" monster, your opponent cannot target this card for attacks. When an attack is declared involving another "Battlin' Boxer" monster you control and an opponent's monster: You can detach 2 Xyz Materials from this card; look at your opponent's hand, then Set 1 Spell Card directly from their hand onto your side of the field.
Number 46: Draggluon the Ethereal Dragon	SHSP	J-SH50	Dragon/Xyz/Effect	Light	*8	3000	3000		ocg	2 Level 8 Dragon-Type monsters. Once per turn, if this card is the only monster you control: You can detach 1 Xyz Material from this card, then activate 1 of these effects. *Special Summon 1 Dragon-Type monster from your hand. *Target 1 Dragon-Type monster your opponent controls; take control of that target. *Until the end of your opponent's turn, the effects of all Dragon-Type monsters your opponent currently controls cannot be activated.
Number 64: Sandayu the Vetanuki	SHSP	J-SH51	Beast/Xyz/Effect	Earth	*2	1000	1000		ocg	2 Level 2 Beast-Type monsters. Once per turn: You can detach 1 Xyz Material from this card; Special Summon 1 "Kagemusha Tanuki Token" (Beast-Type/EARTH/Level 1/ATK ?/DEF 0). That Token's ATK becomes the same as the ATK of the face-up monster currently on the field with the highest ATK. While you control another Beast-Type monster, this card cannot be destroyed by battle or card effects.
Ghostrick Alucard	SHSP	J-SH52	Zombie/Xyz/Effect	Dark	*3	1800	1600		ocg	2 Level 3 monsters. Your opponent cannot target other "Ghostrick" monsters or face-down monsters for attacks. You can detach 1 Xyz Material from this card, then target 1 Set card your opponent controls; destroy that target. You can only use this effect of "Ghostrick Alucard" once per turn. If this card is sent to the Graveyard: You can target 1 other "Ghostrick" card in your Graveyard; add that target to your hand.
Bujintei Kagutsuchi	SHSP	J-SH53	Beast-Warrior/Xyz/Effect	Light	*4	2500	2000		ocg	2 Level 4 Beast-Warrior-Type monsters. When this card is Xyz Summoned: Send the top 5 cards of your Deck to the Graveyard; this card gains 100 ATK for each "Bujin" card sent to the Graveyard to activate this effect. If a Beast-Warrior-Type "Bujin" monster(s) you control would be destroyed by battle or by a card effect, you can detach 1 Xyz Material from this card instead of destroying 1 of those monsters. You can only control 1 "Bujintei Kagutsuchi".
Edelritter - Vampire Bram	SHSP	J-SH54	Zombie/Xyz/Effect	Dark	*5	2500	0		ocg	2 Level 5 Zombie-Type monsters. You can detach 1 Xyz Material from this card, then target 1 monster in your opponent's Graveyard; Special Summon that target to your side of the field, but if you do, monsters you control cannot attack for the rest of this turn, except that monster. You can only use this effect of "Edelritter - Vampire Bram" once per turn. During the Standby Phase, if this card is in your Graveyard because it was destroyed, while you controlled it, by your opponent's card (either by battle or by card effect) and sent there since the previous Standby Phase: Special Summon this card from the Graveyard, in face-up Defense Position.
Melia the Ashwood Nymph	SHSP	J-SH55	Plant/Xyz/Effect	Earth	*3	1700	900		ocg	2 Level 3 EARTH monsters. Once per turn: You can detach 1 Xyz Material from this card, then activate 1 of these effects. *Send 1 Plant-Type monster from your Deck to the Graveyard. *Target 1 Plant-Type monster in your Graveyard; Special Summon that target in face-up Defense Position.
Felgrand the Divine Dragon Knight	SHSP	J-SH56	Warrior/Xyz/Effect	Light	*8	2800	1800		ocg	2 Level 8 monsters. Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster on the field; this turn, that target's effects are negated, also it is unaffected by other card effects.
Pyrallis, Dragon of Purple Flames	SHSP	J-SH57	Reptile/Synchro/Tuner	Fire	2	800	1400		ocg	1 Tuner + 1 non-Tuner monster. When this card is sent from the field to the Graveyard: All monsters your opponent currently controls lose 500 ATK.
Kiganjou	SHSP	J-SH58	Rock/Synchro/Effect	Earth	9	2900	2800		ocg	1 Tuner + 1 or more non-Tuner monsters. This card gains 200 ATK and DEF for each non-Tuner monster used as a Synchro Material Monster for the Synchro Summon of this card.
Gagagatag	SHSP	J-SH59	Normal Spell						ocg	Until your next Standby Phase, each "Gagaga" monster you currently control gains 500 ATK for each "Gagaga" monster you currently control. You can only activate 1 "Gagagatag" per turn.
Burnin' Boxin' Spirit	SHSP	J-SH60	Normal Spell						ocg	Send the top card of your Deck to the Graveyard, then target 1 "Battlin' Boxer" monster in your Graveyard; Special Summon that target in face-up Defense Position. You can only activate 1 "Burnin’ Boxin’ Spirit" per turn.
