Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Elemental HERO Neos Knight	EXVC	ElementalHeroNeosKnight	Warrior/Fusion/Effect	Light	7	2500	1000			Elemental HERO Neos + 1 Warrior-Type monster. This card cannot be Special Summoned except by Fusion Summon. This card gains ATK equal to half the ATK of the Warrior-Type Fusion Material Monster used to Fusion Summon this card, other than "Elemental HERO Neos". This card can attack twice during each Battle Phase. If this card attacks or is attacked, your opponent takes no Battle Damage.
ESP Amplifier	EXVC	ESPAmplifier	Quick-Play Spell							All face-up Psychic-Type monsters you controlled when this card was activated gain 300 ATK for each of your Psychic-Type monsters that is removed from play when this card resolves. During the End Phase, remove from play all monsters that were affected by this effect.
Esper Girl	EXVC	EsperGirl	Psychic/Tuner	Earth	2	500	300			When this removed from play card is Special Summoned, remove from play the top card of your Deck, face-down. When this card is sent from the field to the Graveyard, add that removed card to your hand.
Force Resonator	EXVC	ForceResonator	Fiend/Tuner	Water	2	500	500			You can send this face-up card you control to the Graveyard to select 1 face-up monster you control. If that monster attacks this turn, your opponent cannot activate cards or effects that target a monster(s) until the end of the Damage Step.
Fortissimo the Mobile Fortress	EXVC	FortissimotheMobileFortress	Field Spell							Once per turn, you can Special Summon 1 "Meklord Army" monster from your hand.
Full House	EXVC	FullHouse	Normal Trap							Select 2 face-up Spell/Trap Cards (except this card) and 3 Set Spell/Trap Cards. Destroy the selected cards.
Gladiator Beast Essedarii	EXVC	GladiatorBeastEssedarii	Beast/Fusion/Effect	Earth	5	2500	1400			2 "Gladiator Beast" monsters. This card can only be Special Summoned from your Extra Deck by returning the above cards you control to the Deck. (You do not use "Polymerization".)
Gladiator Beast Tygerius	EXVC	GladiatorBeastTygerius	Beast/Effect	Earth	4	1800	800			This card cannot be used as a Fusion Material Monster. When this card is Special Summoned by the effect of a "Gladiator Beast" monster, you can discard 1 "Gladiator Beast" card to add 1 "Gladiator Beast" monster from the Deck to your hand.
Gladiator Taming	EXVC	GladiatorTaming	Quick-Play Spell							If a face-up "Gladiator Beast" monster is on the field, activate 1 of these effects: *Select 1 face-up monster your opponent controls, and change its battle position. *Select 1 face-up "Gladiator Beast" monster your opponent controls, and take control of it until the End Phase.
Hushed Psychic Cleric	EXVC	HushedPsychicCleric	Psychic/Effect	Earth	3	0	2100			When this card is Normal or Flip Summoned, it is changed to Defense Position. Once per turn, you can send 1 card from your hand to the Graveyard to select 1 Psychic-Type monster in your Graveyard, and remove it from play. When this card is sent from the field to the Graveyard, select 1 monster removed from play by this effect, and Special Summon it.
Jar Turtle	EXVC	JarTurtle	Reptile/Effect	Water	4	200	2100			Each time "Jar of Greed" is activated, draw 1 card.
Junk Berserker	EXVC	JunkBerserker	Warrior/Synchro/Effect	Wind	7	2700	1800			Junk Synchron + 1 or more non-Tuner monsters. You can remove from play 1 "Junk" monster from your Graveyard to select 1 face-up monster your opponent controls. That monster loses ATK equal to the removed monster's ATK. If this card attacks a Defense Position monster, destroy that monster at the start of the Damage Step (without damage calculation).
Junk Servant	EXVC	JunkServant	Warrior/Effect	Earth	4	1500	1000			If you control a face-up "Junk" monster, you can Special Summon this card from your hand.
Karakuri Cash Shed	EXVC	KarakuriCashShed	Counter Trap							Activate only if you control a "Karakuri" monster in face-up Defense Position. Negate the activation of an opponent's Spell/Trap Card and destroy it.
Karakuri Komachi mdl 224 "Ninishi"	EXVC	KarakuriKomachimdl224Ninishi	Machine/Tuner	Earth	3	0	1900			This card must attack if able. When this face-up card is selected as an attack target, change its battle position. While this card is face-up on the field, once per turn during your Main Phase, you can Normal Summon a "Karakuri" monster in addition to your Normal Summon or Set. (You can only gain this effect once per turn.)
Karakuri Ninja mdl 7749 "Nanashick"	EXVC	KarakuriNinjamdl7749Nanashick	Machine/Effect	Earth	5	2200	1800			This card must attack if able. When this face-up card is selected as an attack target, change its battle position. When this card is Normal Summoned, you can draw a number of cards equal to the number of face-up Defense Position "Karakuri" monsters you control.
Lancer Dragonute	EXVC	LancerDragonute	Dragon/Effect	Dark	4	1500	1800			During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.
Lancer Lindwurm	EXVC	LancerLindwurm	Dragon/Effect	Wind	4	1800	1200			During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.
Life Stream Dragon	EXVC	LifeStreamDragon	Dragon/Synchro/Tuner	Earth	8	2900	2400			1 Tuner + "Power Tool Dragon". When this card is Synchro Summoned, you can make your Life Points become 4000. Any effect damage you take becomes 0. If this face-up card on the field would be destroyed, you can remove from play 1 Equip Spell Card in your Graveyard instead.
Localized Tornado	EXVC	LocalizedTornado	Normal Trap							Shuffle all cards from your hand and Graveyard into the Deck.
Mara of the Nordic Alfar	EXVC	MaraoftheNordicAlfar	Spellcaster/Tuner	Dark	2	1000	500			If this card is used as a Synchro Material Monster, the other Synchro Material Monsters are 2 "Nordic" monsters in your hand.
Meklord Army of Granel	EXVC	MeklordArmyofGranel	Machine/Effect	Earth	4	1600	1200			This card gains 100 ATK for each face-up "Meklord" monster on the field, except this card. When this card is Normal Summoned, you can select 1 face-up monster your opponent controls, and halve its ATK until the End Phase.
Meklord Army of Skiel	EXVC	MeklordArmyofSkiel	Machine/Effect	Wind	4	1200	1000			This card gains 200 ATK for each face-up "Meklord" monster on the field, except this card. When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 "Meklord Army" monster from your Deck.
Meklord Army of Wisel	EXVC	MeklordArmyofWisel	Machine/Effect	Dark	4	1800	0			This card gains 100 ATK for each face-up "Meklord" monster on the field, except this card. Once per turn, when another "Meklord" monster you control declares an attack on a Defense Position monster your opponent controls, you can activate this effect. During that battle, if the DEF of the attack target is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent.
Meklord Astro Dragon Asterisk	EXVC	MeklordAstroDragonAsterisk	Machine/Effect	Dark	10	0	0			This card cannot be Normal Summoned or Set. This card can only be Special Summoned by controlling 3 or more face-up "Meklord" monsters. When this card is Special Summoned, you can select any number of face-up "Meklord" monsters you control, except this card, and send them to the Graveyard. This card's ATK is equal to the total original ATK of the monsters sent to the Graveyard by this effect. While this card is face-up on the field, when a Synchro Monster(s) is Special Summoned, inflict 1000 damage to the player that Summoned.
Meklord Emperor Skiel	EXVC	MeklordEmperorSkiel	Machine/Effect	Wind	1	2200	2200			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by its own effect. When a face-up monster you control is destroyed by a card effect and sent to the Graveyard, you can Special Summon this card from your hand. Other monsters you control cannot declare an attack. Once per turn, you can select 1 Synchro Monster your opponent controls, and equip it to this card. This card gains ATK equal to those equipped monsters' combined ATK. You can send 1 monster equipped to this card to the Graveyard to allow this card to attack your opponent directly this turn.
Meklord Factory	EXVC	MeklordFactory	Normal Trap							Activate only when a face-up "Meklord" monster on the field is selected as an attack target. Select 1 "Meklord Army" monster in your Graveyard, and add it to your hand. Then, destroy the attack target.
Meklord Fortress	EXVC	MeklordFortress	Field Spell							Face-up "Meklord Emperor" monsters you control cannot be targeted by the effects of Synchro Monsters. When this card is destroyed and sent from the field to the Graveyard, you can add 1 "Meklord Emperor" monster from your Deck to your hand.
Mektimed Blast	EXVC	MektimedBlast	Normal Trap							Select 1 face-up "Meklord" monster you control and 1 card your opponent controls. Destroy both cards.
Mental Seeker	EXVC	MentalSeeker	Psychic/Tuner	Earth	3	800	600			When this removed from play card is Special Summoned, reveal the top 3 cards of your opponent's Deck. Choose 1 of those cards and remove it from play. Then, shuffle the others into the Deck.
Morphtronic Lantron	EXVC	MorphtronicLantron	Machine/Tuner	Light	1	200	200			*While in Attack Position: Any effect damage you would take from an opponent's card effect is inflicted to your opponent instead. *While in Defense Position: When this card is destroyed by battle and sent to the Graveyard, you take no Battle Damage this turn.
Morphtronic Staplen	EXVC	MorphtronicStaplen	Machine/Effect	Earth	4	1400	1000			*While in Attack Position: Your opponent cannot select another monster as an attack target. If this card is destroyed by battle, the monster that destroyed this card loses 300 ATK. *While in Defense Position: This card cannot be destroyed by battle. If this card is attacked, after damage calculation, select 1 face-up Attack Position monster your opponent controls. Change it to Defense Position and this card to Attack Position.
Mystic Piper	EXVC	MysticPiper	Spellcaster/Effect	Light	1	0	0			You can Tribute this card to draw and reveal 1 card. If that card is a Level 1 Monster Card, draw 1 more card. The effect of "Mystic Piper" can only be activated once per turn.
Naturia Eggplant	EXVC	NaturiaEggplant	Plant/Effect	Earth	2	1000	700			When this card is sent from the field to the Graveyard, you can select 1 "Naturia" monster in your Graveyard, except "Naturia Eggplant", and add it to your hand.
Necro Defender	EXVC	NecroDefender	Fiend/Effect	Dark	2	0	800			During your Main Phase, you can remove from play this card from your Graveyard to select 1 monster you control. Until your opponent's next End Phase, that monster cannot be destroyed by battle, and you take no Battle Damage from battles involving it.
Out of the Blue	EXVC	OutoftheBlue	Continuous Spell							Destroy this card if your opponent activates a card or effect that targets a card(s) in the Graveyard. When this card is destroyed by this effect and sent to the Graveyard, your opponent shuffles all cards in their Graveyard into the Deck.
Overmind Archfiend	EXVC	OvermindArchfiend	Psychic/Synchro/Effect	Dark	9	3300	3000			1 Psychic-Type Tuner + 2 or more non-Tuner Psychic-Type monsters. Once per turn, you can select 1 Psychic-Type monster in your Graveyard, and remove it from play. When this card is sent from the field to the Graveyard, Special Summon as many monsters as possible that were removed from play by this effect.
Power-Up Adapter	EXVC	PowerUpAdapter	Normal Trap							After activation, treat this card as an Equip Card and equip it to 1 face-up "Morphtronic" monster you control. The equipped monster cannot attack. Then, select 1 face-up monster on the field, except the equipped monster. It gains ATK equal to the ATK of the equipped monster.
Psi-Beast	EXVC	PsiBeast	Psychic/Effect	Earth	2	700	500			When this card is Normal Summoned, you can remove from play 1 Psychic-Type monster from your Deck. This card's Level becomes the Level of that monster.
Psychic Feel Zone	EXVC	PsychicFeelZone	Normal Spell							Select 2 of your removed from play monsters (1 Psychic-Type Tuner and 1 Psychic-Type non-Tuner), return them to the Graveyard, and Special Summon 1 Psychic-Type Synchro Monster from your Extra Deck in face-up Defense Position, whose Level equals the total Levels of the returned monsters.
Psychic Reactor	EXVC	PsychicReactor	Normal Trap							Activate only if you control a face-up Psychic-Type monster. This turn, when a face-up Psychic-Type monster you control battles an opponent's monster, remove both monsters from play.
Psychic Shockwave	EXVC	PsychicShockwave	Normal Trap							Activate only when your opponent activates a Trap Card. Discard 1 Spell/Trap Card to Special Summon 1 Level 6 DARK Machine-Type monster from your Deck.
Reboot	EXVC	Reboot	Normal Spell							Shuffle 1 "Meklord" monster from your hand into the Deck to select 1 "Meklord" card in your Graveyard, and add it to your hand.
Reborn Tengu	EXVC	RebornTengu	Beast-Warrior/Effect	Wind	4	1700	600		A2/T2	When this card is removed from the field, Special Summon 1 "Reborn Tengu" from your Deck.
Red Carpet	EXVC	RedCarpet	Normal Trap							Activate only if a face-up Dragon-Type Synchro Monster is on the field. Select up to 2 "Resonator" monsters in your Graveyard. Special Summon those monsters.
Red Dragon Vase	EXVC	RedDragonVase	Normal Spell							Activate only if you control a face-up "Red Dragon Archfiend". Draw 2 cards. You cannot Normal or Special Summon another monster until the end of your opponent's turn if you activate this card.
Resonant Destruction	EXVC	ResonantDestruction	Continuous Spell							When a "Resonator" monster(s) is sent to the Graveyard as a Synchro Material Monster, select 1 card your opponent controls and destroy it. Destroy this card during your 2nd End Phase after activation.
Resonator Call	EXVC	ResonatorCall	Normal Spell							Add 1 "Resonator" monster from your Deck to your hand.
Runaway Karakuri	EXVC	RunawayKarakuri	Quick-Play Spell							Select 1 face-up "Karakuri" monster on the field. Until the End Phase, it gains 1000 ATK but its effect(s) is negated.
Safe Zone	EXVC	SafeZone	Continuous Trap							Activate by selecting 1 face-up Attack Position monster. That monster cannot be targeted or destroyed by your opponent's card effects, or be destroyed by battle. It cannot attack your opponent directly. When this card is removed from the field, destroy that monster. When that monster is removed from the field, destroy this card.
Salvage Warrior	EXVC	SalvageWarrior	Warrior/Effect	Water	5	1900	1600			When this card is Tribute Summoned, you can Special Summon 1 Tuner monster from your hand or Graveyard.
Scarlet Security	EXVC	ScarletSecurity	Normal Spell							Activate only if you control a face-up "Red Dragon Archfiend". Destroy all Spell/Trap Cards your opponent controls.
Scrap Kong	EXVC	ScrapKong	Beast/Effect	Earth	4	2000	1000			When this card is Normal Summoned, destroy it. If this card is destroyed by the effect of a "Scrap" card and sent to Graveyard, you can select 1 "Scrap" monster in your Graveyard, except "Scrap Kong", and add it to your hand.
Scrap Orthros	EXVC	ScrapOrthros	Beast/Tuner	Earth	4	1700	1100			This card cannot be Normal Summoned or Set. This card can only be Special Summoned by controlling a face-up "Scrap" monster. When Special Summoned this way, select 1 face-up "Scrap" monster you control, and destroy it. If this card is destroyed by the effect of a "Scrap" card and sent to the Graveyard, you can select 1 "Scrap" monster in your Graveyard, except "Scrap Orthros", and add it to your hand.
Sealing Ceremony of Mokuton	EXVC	SealingCeremonyofMokuton	Continuous Trap							Once per turn, you can Tribute 1 face-up EARTH monster to select up to 2 cards in the opponent's Graveyard, and remove them from play.
Self-Mummification	EXVC	SelfMummification	Quick-Play Spell							Select 1 monster you control, and send it to the Graveyard.
Serene Psychic Witch	EXVC	SerenePsychicWitch	Psychic/Effect	Earth	3	1400	1200			When this card on the field is destroyed and sent to the Graveyard, you can remove from play 1 Psychic-Type monster with 2000 or less ATK from your Deck. During the next Standby Phase, Special Summon the monster removed from play by this effect.
Shien's Advisor	EXVC	ShiensAdvisor	Warrior/Effect	Earth	4	1200	400			When this card is Normal Summoned, if you control a face-up "Six Samurai" monster, declare 1 Monster Type. While this card is face-up on the field, monsters with the declared Monster Type cannot declare an attack or be Special Summoned.
Shien's Dojo	EXVC	ShiensDojo	Continuous Spell							Each time a "Six Samurai" monster(s) is Normal or Special Summoned, place 1 Bushido Counter on this card. You can send this card to the Graveyard to Special Summon 1 "Shien" or "Six Samurai" Effect Monster from your Main Deck, whose Level is less than or equal to the number of Bushido Counters on this card.
Silent Psychic Wizard	EXVC	SilentPsychicWizard	Psychic/Effect	Earth	4	1900	0			When this card is Normal Summoned, you can select 1 Psychic-Type monster in your Graveyard, and remove it from play. When this card is sent from the field to the Graveyard, Special Summon that removed monster.
Six Style - Dual Wield	EXVC	SixStyleDualWield	Normal Trap							Activate only if the only monster you control is 1 "Six Samurai" monster in face-up Attack Position. Select 2 cards your opponent controls and return them to the hand.
Soundproofed	EXVC	Soundproofed	Normal Spell							This card can only be activated at the start of Main Phase 1, and only if you control no face-up Synchro Monsters. Neither player can Special Summon a Synchro Monster until your opponent's next End Phase.
T.G. Blade Blaster	EXVC	TGBladeBlaster	Machine/Synchro/Effect	Earth	10	3300	2200			1 Tuner Synchro Monster + 1 or more non-Tuner Synchro Monsters. When an opponent's Spell/Trap Card is activated that targets this card, you can send 1 card from your hand to the Graveyard to negate the effect. Once per opponent's turn, you can remove from play 1 "T.G." monster from your Graveyard to remove this face-up card on the field from play. During the next Standby Phase, Special Summon this card, if removed by this effect.
T.G. Catapult Dragon	EXVC	TGCatapultDragon	Dragon/Effect	Earth	2	900	1300			Once per turn, you can Special Summon 1 Level 3 or lower "T.G." Tuner monster from your hand.
T.G. Cyber Magician	EXVC	TGCyberMagician	Spellcaster/Tuner	Light	1	0	0			If you use this face-up card you control as a Synchro Material Monster for a "T.G." Synchro Monster, you can use "T.G." monsters in your hand as non-Tuner Synchro Material Monsters. During the End Phase of the turn this card ont he field was destroyed and sent to the Graveyard, you can add 1 "T.G." monster from your Deck to your hand, except "T.G. Cyber Magician".
T.G. Halberd Cannon	EXVC	TGHalberdCannon	Machine/Synchro/Effect	Earth	12	4000	4000			1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters. This card cannot be Special Summoned except by Synchro Summon. Once per turn, while this card is face-up on the field, you can negate the Summon of a monster and destroy it. When this card is sent from the field to the Graveyard, you can select 1 "T.G." monster in your Graveyard, and Special Summon it.
T.G. Jet Falcon	EXVC	TGJetFalcon	Winged Beast/Tuner	Wind	3	1400	1200			If this card is sent to the Graveyard as a Synchro Material Monster, inflict 500 damage to your opponent.
T.G. Power Gladiator	EXVC	TGPowerGladiator	Warrior/Synchro/Effect	Earth	5	2300	1000			1 Tuner + 1 or more non-Tuner "T.G." monsters. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this card on the field is destroyed, draw 1 card.
T.G. Recipro Dragonfly	EXVC	TGReciproDragonfly	Insect/Synchro/Effect	Wind	2	300	300			1 Tuner + 1 non-Tuner monster. Once per turn, you can select 1 face-up "T.G." Synchro Monster you control, except this card. Send it to the Graveyard. Then, if all of the Synchro Monsters that were used for the Synchro Summon of that monster are in your Graveyard, you can Special Summon them.
T.G. Rush Rhino	EXVC	TGRushRhino	Beast/Effect	Earth	4	1600	800			If this card attacks, it gains 400 ATK during the Damage Step only. During the End Phase of the turn this card on the field was destroyed and sent to the Graveyard, you can add 1 "T.G." monster from your Deck to your hand, except "T.G. Rush Rhino".
T.G. Striker	EXVC	TGStriker	Warrior/Tuner	Earth	2	800	0		A1/T1	If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand. During the End Phase of the turn this card on the field was destroyed and sent to the Graveyard, you can add 1 "T.G." monster from your Deck to your hand, except "T.G. Striker".
T.G. Warwolf	EXVC	TGWarwolf	Beast-Warrior/Effect	Dark	3	1200	0			When a Level 4 or lower monster is Special Summoned, you can Special Summon this card from your hand. During the End Phase of the turn this card on the field was destroyed and sent to the Graveyard, you can add 1 "T.G." monster from your Deck to your hand, except "T.G. Warwolf".
T.G. Wonder Magician	EXVC	TGWonderMagician	Spellcaster/Synchro/Tuner	Light	5	1900	0			1 Tuner + 1 or more non-Tuner "T.G." monsters. When this card is Synchro Summoned, select 1 Spell/Trap Card on the field and destroy it. When this card on the field is destroyed, draw 1 card. During your opponent's Main Phase, you can Synchro Summon using this face-up card you control as a Synchro Material Monster.
TG1-EM1	EXVC	TG1EM1	Normal Trap							Select 1 monster your opponent controls and 1 face-up "T.G." monster you control. Switch control of those monsters.
TG-SX1	EXVC	TGSX1	Normal Trap							Activate only when a "T.G." monster you control destroys an opponent's monster by battle and sends it to the Graveyard. Select 1 "T.G." Synchro Monster in your Graveyard, and Special Summon it.
TGX1-HL	EXVC	TGX1HL	Quick-Play Spell							Select 1 face-up "T.G." monster you control. Halve the ATK and DEF of that monster and destroy 1 Spell/Trap Card on the field.
TGX300	EXVC	TGX300	Continuous Spell							All face-up monsters you control gain 300 ATK for each face-up "T.G." monster you control.
TGX3-DX2	EXVC	TGX3DX2	Normal Trap							Select 3 "T.G." monsters in your Graveyard. Shuffle them into your Deck, then draw 2 cards.
The Resolute Meklord Army	EXVC	TheResoluteMeklordArmy	Continuous Spell							Meklord Army monsters you control in face-up Attack Position cannot be destroyed by battle, but their effects are negated.
Tradetoad	EXVC	Tradetoad	Aqua/Effect	Water	1	100	2000			Once per turn, you can Tribute 1 Aqua-Type monster to select 1 "Frog" monster in your Graveyard, except "Frog the Jam". Special Summon that monster from your Graveyard.
Tyrant's Tantrum	EXVC	TyrantsTantrum	Continuous Trap							Activate by Tributing 2 monsters. Your opponent cannot activate a Spell Card unless they also send 1 Spell Card from the Deck to the Graveyard.
Unknown Synchron	EXVC	UnknownSynchron	Machine/Tuner	Dark	1	0	0			If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand. Each player can only use the effect of "Unknown Synchron" once per Duel.
Vampire Dragon	EXVC	VampireDragon	Zombie/Effect	Dark	5	2400	0			When this Tribute Summoned card is sent from the field to the Graveyard, you can add 1 Level 4 or lower monster from your Deck to your hand.
W Nebula Meteorite	EXVC	WNebulaMeteorite	Normal Trap							Change all face-down monsters on the field to face-up Defense Position. During the End Phase this turn, change all face-up LIGHT Reptile-Type monsters you control to face-down Defense Position, then draw 1 card for each. After that, you can Special Summon 1 Level 7 or higher LIGHT Reptile-Type monster from your Deck.
A Hero Lives	GENF	AHeroLives	Normal Spell						A2/T2	When you control no face-up monsters: Pay half your Life Points; Special Summon 1 Level 4 or lower "Elemental HERO" monster from your Deck.
Absolute Crusader	GENF	AbsoluteCrusader	Warrior/Effect	Earth	4	1800	1200			When a Level 5 or higher monster is Special Summoned: Tribute this face-up card on the field; destroy that Level 5 or higher monster.
Achacha Archer	GENF	AchachaArcher	Warrior/Effect	Fire	3	1200	600			When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.
Airorca	GENF	Airorca	Sea Serpent/Effect	Wind	3	1400	300			Once per turn: You can banish 1 Fish, Sea Serpent, or Aqua-Type monster from your hand to target 1 face-up card your opponent controls; destroy that target, then banish this card until your next Standby Phase.
Aqua Jet	GENF	AquaJet	Normal Spell							Target 1 face-up Fish, Sea Serpent, or Aqua-Type monster you control; it gains 1000 ATK.
Asleep at the Switch	GENF	AsleepattheSwitch	Normal Trap							When your opponent gains Life Points: Target 1 monster your opponent controls; destroy that target.
Attention!	GENF	Attention	Normal Trap							Target 1 face-up Level 5 or lower monster your opponent controls; destroy all face-up monsters on the field with a different Level than it.
Blue-Blooded Oni	GENF	BlueBloodedOni	Zombie/Effect	Dark	4	1000	1700			When this card is Normal or Flip Summoned: It is changed to Defense Position. Once per turn: You can detach 1 Xyz Material you control to target 1 Level 4 Zombie-Type monster in your Graveyard; Special Summon that target.
Bright Future	GENF	BrightFuture	Normal Trap							Target 2 of your banished Psychic-Type monsters: return both those targets to the Graveyard and draw 1 card.
Burgeoning Whirlflame	GENF	BurgeoningWhirlflame	Counter Trap							When a Trap Card is activated: Send 1 "Laval" monster from your hand to the Graveyard; negate the activation and destroy it. If this card is in the Graveyard: You can banish 2 FIRE monsters from your Graveyard; add this card to your hand.
Cracking	GENF	Cracking	Continuous Spell							Once per turn, when a monster(s) is sent from the field to the Graveyard by a card effect: Inflict 800 damage to the owner of the monster(s).
Crashbug Road	GENF	CrashbugRoad	Quick-Play Spell							Each player can Special Summon 1 monster from their hand with the same Level as 1 face-up Level 4 or lower monster they control.
Crashbug X	GENF	CrashbugX	Fiend/Effect	Dark	3	0	2000			When this card is Normal Summoned: You can Special Summon 1 "Crashbug Z" from your Deck. You must control a face-up "Crashbug Y" to activate and to resolve this effect.
Crashbug Y	GENF	CrashbugY	Fiend/Effect	Dark	3	1400	1600			When this card is Normal Summoned: You can Special Summon 1 "Crashbug X" from your Deck. You must control a face-up "Crashbug Z" to activate and to resolve this effect.
Crashbug Z	GENF	CrashbugZ	Fiend/Effect	Dark	3	0	1500			When this card is Normal Summoned: You can Special Summon 1 "Crashbug Y" from your Deck. You must control a face-up "Crashbug X" to activate and to resolve this effect.
Curse of the Circle	GENF	CurseoftheCircle	Normal Trap							Target 1 monster your opponent controls; your opponent cannot Tribute it, or use it as a Synchro Material Monster.
Damage Vaccine Omega MAX	GENF	DamageVaccineOmegaMAX	Normal Trap							When you take damage by battle or by a card effect: Gain Life Points equal to the damage you took.
Double or Nothing!	GENF	DoubleorNothing	Quick-Play Spell							When a monster's attack is negated: Target that monster; during this Battle Phase, it can attack again, and if it does, its ATK is doubled during the Damage Step only.
Drill Barnacle	GENF	DrillBarnacle	Aqua/Effect	Water	3	300	0			This card can attack your opponent directly. Each time this card inflicts Battle Damage to your opponent by a direct attack: This card gains 1000 ATK.
Elemental HERO Absolute Zero	GENF	ElementalHEROAbsoluteZero1	Warrior/Fusion/Effect	Water	8	2500	2000			1 "HERO" monster + 1 WATER monster. Must be Fusion Summoned and cannot be Special Summoned by other ways. This card gains 500 ATK for each face-up WATER monster on the field, except "Elemental HERO Absolute Zero". When this card leaves the field: Destroy all monsters your opponent controls.
Elemental HERO Flash	GENF	ElementalHEROFlash	Warrior/Effect	Light	4	1100	1600			When this card is destroyed by battle and sent to the Graveyard: You can banish this card and 3 "Elemental HERO" Monster Cards with different names from your Graveyard to target 1 Normal Spell Card in your Graveyard; add that target to your hand.
Elemental HERO Nova Master	GENF	ElementalHERONovaMaster	Warrior/Fusion/Effect	Fire	8	2600	2100			1 "Elemental HERO" monster + 1 FIRE monster. Must be Fusion Summoned and cannot be Special Summoned by other ways. If this card destroys an opponent's monster by battle: Draw 1 card.
